sku_id,period,qty_total,category_id
598294111,2025-03-10,0.8980643783797841,672241
598294111,2025-03-17,1.3980034019974223,672241
598294111,2025-03-24,0.8979541941112866,672241
598294111,2025-03-31,0.39806265345911007,672241
598294111,2025-04-07,1.3981239679559299,672241
598294111,2025-04-14,1.3981117689684626,672241
598294111,2025-04-21,2.8982671890927914,672241
598294111,2025-04-28,1.3981854805174063,672241
598294111,2025-05-05,2.898280978609912,672241
598294111,2025-05-12,1.3982472405359314,672241
598294111,2025-05-19,0.8981797471955093,672241
598294111,2025-05-26,0.8981085022646392,672241
598294111,2025-06-02,2.8981230659989983,672241
598294111,2025-06-09,4.3982030834459,672241
598294111,2025-06-16,1.898172448874781,672241
598302302,2025-03-10,0.4853160779611363,672241
598302302,2025-03-17,-0.018482078920956983,672241
598302302,2025-03-24,-0.017405004491341303,672241
598302302,2025-03-31,-0.016868917688702217,672241
598302302,2025-04-07,-0.016657296212415608,672241
598302302,2025-04-14,-0.016623089144578385,672241
598302302,2025-04-21,-0.016668367042150058,672241
598302302,2025-04-28,-0.016729913673665997,672241
598302302,2025-05-05,-0.016767505837443367,672241
598302302,2025-05-12,-0.01675652140021587,672241
598302302,2025-05-19,-0.01668128612619616,672241
598302302,2025-05-26,-0.01622132043468423,672241
598302302,2025-06-02,-0.016074165490229872,672241
598302302,2025-06-09,-0.015924264210216553,672241
598302302,2025-06-16,-0.015768085617264907,672241
599653937,2025-03-10,0.3245391667131303,672241
599653937,2025-03-17,1.324533529814378,672241
599653937,2025-03-24,0.3245212420925827,672241
599653937,2025-03-31,7.824564281650055,672241
599653937,2025-04-07,0.32456846692460495,672241
599653937,2025-04-14,1.3246147405670472,672241
599653937,2025-04-21,5.324710285792419,672241
599653937,2025-04-28,11.324635814893258,672241
599653937,2025-05-05,1.3247733252533447,672241
599653937,2025-05-12,3.324741345198742,672241
599653937,2025-05-19,1.3247673866177703,672241
599653937,2025-05-26,0.8247600534237642,672241
599653937,2025-06-02,0.8247725711390548,672241
599653937,2025-06-09,4.324766279380552,672241
599653937,2025-06-16,2.3248016511770446,672241
599703217,2025-03-10,2.5722325685581935,672241
599703217,2025-03-17,1.5729376091037883,672241
599703217,2025-03-24,6.565169869287079,672241
599703217,2025-03-31,2.0717498501580858,672241
599703217,2025-04-07,10.066278130863598,672241
599703217,2025-04-14,3.5713968822320057,672241
599703217,2025-04-21,3.5646377794355715,672241
599703217,2025-04-28,2.5678169529701185,672241
599703217,2025-05-05,2.0650413457994423,672241
599703217,2025-05-12,3.565191857793328,672241
599703217,2025-05-19,3.5662087243986518,672241
599703217,2025-05-26,4.063754343818464,672241
599703217,2025-06-02,2.0641531433969376,672241
599703217,2025-06-09,9.567768726285887,672241
599703217,2025-06-16,9.060325077377914,672241
746436995,2025-03-10,-0.12593823062078047,672241
746436995,2025-03-17,-0.11816104392092885,672241
746436995,2025-03-24,1.3894124063439324,672241
746436995,2025-03-31,0.39681730219301337,672241
746436995,2025-04-07,-0.09594630211394498,672241
746436995,2025-04-14,0.4110629947490091,672241
746436995,2025-04-21,-0.08207522580232274,672241
746436995,2025-04-28,-0.07541916983234534,672241
746436995,2025-05-05,0.4310302409363719,672241
746436995,2025-05-12,-0.06266836866079234,672241
