sku_id,category_id,period,qty_total
598294111,672241,2024-11-25,0.8144823682001598
598294111,672241,2024-12-02,0.814405792192262
598294111,672241,2024-12-09,0.814383453739051
598294111,672241,2024-12-16,0.3143481044750016
598294111,672241,2024-12-23,0.8143120725730816
598294111,672241,2024-12-30,1.3142777434195654
598294111,672241,2025-01-06,0.814260483067968
598294111,672241,2025-01-13,2.314197047630814
598294111,672241,2025-01-20,3.3141115900777374
598294111,672241,2025-01-27,2.3140209131161154
598294111,672241,2025-02-03,1.8139193146030352
598294111,672241,2025-02-10,0.8137988493149605
598294111,672241,2025-02-17,0.8136973740253632
598294111,672241,2025-02-24,0.8136368569873764
598294111,672241,2025-03-03,0.8135986977506927
598302302,672241,2024-11-25,0.056775581279839
598302302,672241,2024-12-02,0.056794890818745565
598302302,672241,2024-12-09,0.056816654856279215
598302302,672241,2024-12-16,0.056840843471776675
598302302,672241,2024-12-23,0.5570240350230489
598302302,672241,2024-12-30,0.056928115233772246
598302302,672241,2025-01-06,1.0569913326836549
598302302,672241,2025-01-13,0.057056945631799534
598302302,672241,2025-01-20,0.057124975581612066
598302302,672241,2025-01-27,0.057195455518400495
598302302,672241,2025-02-03,0.05726838187668106
598302302,672241,2025-02-10,1.057030538097855
598302302,672241,2025-02-17,0.05735816817649836
598302302,672241,2025-02-24,0.05737478221731939
598302302,672241,2025-03-03,0.05739384962778027
599653937,672241,2024-11-25,10.456924563985812
599653937,672241,2024-12-02,1.5355699046344218
599653937,672241,2024-12-09,1.613433634332626
599653937,672241,2024-12-16,1.1901963668964348
599653937,672241,2024-12-23,1.2659365564693374
599653937,672241,2024-12-30,1.3406485405691386
599653937,672241,2025-01-06,2.4142922739786923
599653937,672241,2025-01-13,2.486963970814998
599653937,672241,2025-01-20,2.058588036600252
599653937,672241,2025-01-27,6.629349593045471
599653937,672241,2025-02-03,1.6987066420427122
599653937,672241,2025-02-10,3.2672069689675
599653937,672241,2025-02-17,2.3347623754896407
599653937,672241,2025-02-24,2.9012315948940217
599653937,672241,2025-03-03,2.966754411288229
599703217,672241,2024-11-25,4.365099268076287
599703217,672241,2024-12-02,6.365117997311623
599703217,672241,2024-12-09,3.8651259383103227
599703217,672241,2024-12-16,2.865144283314013
599703217,672241,2024-12-23,1.8651541078562954
599703217,672241,2024-12-30,5.365165754518294
599703217,672241,2025-01-06,2.365189088123727
599703217,672241,2025-01-13,5.365194803379408
599703217,672241,2025-01-20,2.3652245163461516
599703217,672241,2025-01-27,2.3652442592559657
599703217,672241,2025-02-03,1.8652540142684786
599703217,672241,2025-02-10,1.3652671800624527
599703217,672241,2025-02-17,2.8652786321147006
599703217,672241,2025-02-24,0.8652774266251075
599703217,672241,2025-03-03,4.365279149573413
746436995,672241,2024-11-25,0.3585144377976802
746436995,672241,2024-12-02,-0.1194338760697421
746436995,672241,2024-12-09,-0.09766719672867963
746436995,672241,2024-12-16,-0.07618293997120396
746436995,672241,2024-12-23,-0.054978698589481956
746436995,672241,2024-12-30,1.4659456632760912
746436995,672241,2025-01-06,0.9865897643775666
746436995,672241,2025-01-13,0.0069559321793735696
746436995,672241,2025-01-20,0.5270479082008058
746436995,672241,2025-01-27,0.04686824608825274
746436995,672241,2025-02-03,0.06641841619576899
746436995,672241,2025-02-10,0.0857002821655159
746436995,672241,2025-02-17,0.6047142906966405
746436995,672241,2025-02-24,0.6234602838008672
746436995,672241,2025-03-03,0.1419388314386913
2709580011,672241,2024-11-25,1.3751782160110142
2709580011,672241,2024-12-02,1.366426460025496
2709580011,672241,2024-12-09,1.3575431492203829
2709580011,672241,2024-12-16,1.353430686685503
2709580011,672241,2024-12-23,1.3472459091115936
2709580011,672241,2024-12-30,1.3424837569266868
2709580011,672241,2025-01-06,1.3435157426970201
2709580011,672241,2025-01-13,1.3429892343437917
2709580011,672241,2025-01-20,1.3397191239924195
2709580011,672241,2025-01-27,1.3408184283466547
2709580011,672241,2025-02-03,1.9016312585026731
2709580011,672241,2025-02-10,1.3523865058218396
2709580011,672241,2025-02-17,1.909625189894911
2709580011,672241,2025-02-24,1.911781980817371
2709580011,672241,2025-03-03,2.808328194384319
2709580215,672241,2024-11-25,2.0674901845928995
2709580215,672241,2024-12-02,1.0674918545664225
2709580215,672241,2024-12-09,1.5674237443028125
2709580215,672241,2024-12-16,1.5674361018645633
2709580215,672241,2024-12-23,1.067383689815654
2709580215,672241,2024-12-30,1.567389094259001
2709580215,672241,2025-01-06,1.0673514981973176
2709580215,672241,2025-01-13,1.0673420931120825
2709580215,672241,2025-01-20,1.067335300513883
2709580215,672241,2025-01-27,1.067331690939627
2709580215,672241,2025-02-03,1.0673288051978964
2709580215,672241,2025-02-10,1.0673193520607025
2709580215,672241,2025-02-17,1.0673111567495823
2709580215,672241,2025-02-24,1.067307617170472
2709580215,672241,2025-03-03,1.5673277306856517
2787887686,672241,2024-11-25,1.6731967543238526
2787887686,672241,2024-12-02,4.672781505992813
2787887686,672241,2024-12-09,-3.326788591744327
2787887686,672241,2024-12-16,-2.827077830547501
2787887686,672241,2024-12-23,-3.327363975804536
2787887686,672241,2024-12-30,-3.327736172772484
2787887686,672241,2025-01-06,-3.32800173359903
2787887686,672241,2025-01-13,-3.3282005950382616
2787887686,672241,2025-01-20,-3.328421893211324
2787887686,672241,2025-01-27,-3.3286629583366096
2787887686,672241,2025-02-03,-3.3288484763765656
2787887686,672241,2025-02-10,-2.8288340647043873
2787887686,672241,2025-02-17,-3.3288842361920623
2787887686,672241,2025-02-24,-0.8287863055151096
2787887686,672241,2025-03-03,-2.828724227402269
3022776581,672241,2024-11-25,1.6179656526739628
3022776581,672241,2024-12-02,0.6179616971101473
3022776581,672241,2024-12-09,0.6180968473212888
3022776581,672241,2024-12-16,0.6181398532638489
3022776581,672241,2024-12-23,0.6181566203601767
3022776581,672241,2024-12-30,0.6181399409062414
3022776581,672241,2025-01-06,0.6181420173504291
3022776581,672241,2025-01-13,0.6181579357877898
3022776581,672241,2025-01-20,1.1182137702795678
3022776581,672241,2025-01-27,0.618251609346903
3022776581,672241,2025-02-03,0.6182517148325883
3022776581,672241,2025-02-10,1.6182344720719
3022776581,672241,2025-02-17,0.6182783667134906
3022776581,672241,2025-02-24,0.6183737807172822
3022776581,672241,2025-03-03,1.6184445819389
3022776731,672241,2024-11-25,0.38634909226490105
3022776731,672241,2024-12-02,-0.11378861595266906
3022776731,672241,2024-12-09,-0.11389516073266032
3022776731,672241,2024-12-16,-0.11398868484131269
3022776731,672241,2024-12-23,-0.11407073136953982
3022776731,672241,2024-12-30,0.3858784710147995
3022776731,672241,2025-01-06,0.3857748573068539
3022776731,672241,2025-01-13,-0.1142628129489173
